,value
model_name,lightgbm
evaluated_at,2026-05-31T13:44:16.457868
test_set_n,9005
test_positive_rate,0.3723
auc_roc,0.9031
average_precision,0.9051
brier_score,0.0834
calibration_error,0.0048
optimal_threshold,0.3916
precision,0.9984
recall,0.7343
specificity,0.9993
f1_score,0.8462
negative_predictive_value,0.8637
true_positives,2462
false_positives,4
true_negatives,5648
false_negatives,891
meets_min_auc,True
meets_min_recall,True
